                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 6.6563,                0.33433,                0.35271,                0.26214,                0.06726,                 4.3878,             8.5002e-05,             8.5002e-05,             8.5002e-05
                     47,                 6.6469,                0.31505,                0.35035,                0.26169,                0.06592,                 4.4117,             8.4668e-05,             8.4668e-05,             8.4668e-05
                     48,                 6.6401,                0.32461,                 0.3614,                0.27039,                0.06809,                 4.3822,             8.4335e-05,             8.4335e-05,             8.4335e-05
                     49,                 6.6099,                0.32536,                0.33668,                0.26196,                0.06683,                  4.379,             8.4002e-05,             8.4002e-05,             8.4002e-05
                     50,                 6.6242,                0.31831,                0.35198,                0.26776,                0.06736,                 4.3607,             8.3668e-05,             8.3668e-05,             8.3668e-05
                     51,                 6.5873,                0.32638,                0.34719,                0.26567,                0.06785,                 4.3569,             8.3335e-05,             8.3335e-05,             8.3335e-05
                     52,                 6.5794,                0.33026,                0.33988,                0.26339,                0.06741,                 4.3614,             8.3002e-05,             8.3002e-05,             8.3002e-05
                     53,                 6.5612,                0.31751,                0.35017,                0.25822,                0.06518,                 4.3669,             8.2668e-05,             8.2668e-05,             8.2668e-05
                     54,                 6.5619,                0.33114,                0.36176,                0.26897,                 0.0691,                 4.3341,             8.2335e-05,             8.2335e-05,             8.2335e-05
                     55,                 6.5544,                0.31895,                0.36788,                0.26141,                0.06719,                 4.3305,             8.2002e-05,             8.2002e-05,             8.2002e-05
                     56,                 6.5501,                0.32997,                0.35384,                0.27738,                0.07081,                 4.3214,             8.1668e-05,             8.1668e-05,             8.1668e-05
                     57,                 6.5408,                0.33262,                0.35781,                0.27316,                0.06954,                 4.3222,             8.1335e-05,             8.1335e-05,             8.1335e-05
                     58,                 6.5323,                0.33928,                 0.3711,                0.28113,                 0.0725,                 4.3069,             8.1002e-05,             8.1002e-05,             8.1002e-05
                     59,                 6.5176,                 0.3287,                0.35374,                0.27905,                0.07207,                 4.3103,             8.0669e-05,             8.0669e-05,             8.0669e-05
                     60,                 6.5118,                0.32997,                0.35056,                0.27453,                0.07044,                 4.3099,             8.0335e-05,             8.0335e-05,             8.0335e-05
                     61,                 6.4974,                0.34211,                0.37076,                0.28499,                0.07307,                 4.2916,             8.0002e-05,             8.0002e-05,             8.0002e-05
                     62,                 6.4752,                 0.3371,                0.36103,                0.28269,                0.07282,                  4.281,             7.9669e-05,             7.9669e-05,             7.9669e-05
                     63,                 6.4912,                0.34369,                0.36414,                 0.2864,                0.07322,                 4.2747,             7.9335e-05,             7.9335e-05,             7.9335e-05
                     64,                 6.4791,                0.33187,                 0.3816,                0.28063,                 0.0731,                 4.2759,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     65,                  6.476,                0.34826,                0.37088,                0.28077,                0.07303,                 4.2767,             7.8669e-05,             7.8669e-05,             7.8669e-05
                     66,                 6.4554,                0.35426,                0.37025,                0.28668,                 0.0738,                 4.2573,             7.8336e-05,             7.8336e-05,             7.8336e-05
                     67,                 6.4581,                0.35272,                0.38158,                0.29027,                0.07457,                 4.2654,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     68,                 6.4334,                 0.3423,                0.37434,                0.28582,                0.07439,                 4.2507,             7.7669e-05,             7.7669e-05,             7.7669e-05
                     69,                 6.4258,                0.36853,                0.36834,                0.29418,                0.07712,                 4.2516,             7.7336e-05,             7.7336e-05,             7.7336e-05
                     70,                 6.4229,                0.36102,                0.37839,                0.29402,                0.07566,                 4.2654,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     71,                 6.4111,                0.36372,                0.36528,                0.29236,                0.07584,                 4.2238,             7.6669e-05,             7.6669e-05,             7.6669e-05
                     72,                 6.3896,                0.35556,                0.37795,                 0.2904,                0.07484,                 4.2367,             7.6336e-05,             7.6336e-05,             7.6336e-05
                     73,                 6.4149,                 0.3583,                0.37675,                0.29698,                0.07791,                  4.214,             7.6002e-05,             7.6002e-05,             7.6002e-05
