                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.7573,                0.93812,                0.94811,                0.98225,                0.75671,                0.77726,             6.8753e-05,             6.8753e-05,             6.8753e-05
                     47,                 1.7247,                0.94806,                0.93951,                0.98251,                0.75481,                0.77385,             6.8059e-05,             6.8059e-05,             6.8059e-05
                     48,                 1.7101,                0.95662,                0.93352,                0.98227,                0.75811,                0.76725,             6.7364e-05,             6.7364e-05,             6.7364e-05
                     49,                 1.6968,                0.94515,                0.94578,                0.98191,                0.75691,                0.76696,              6.667e-05,              6.667e-05,              6.667e-05
                     50,                 1.6944,                0.95352,                0.94325,                0.98168,                0.75519,                0.76855,             6.5976e-05,             6.5976e-05,             6.5976e-05
                     51,                 1.7026,                0.95044,                0.93924,                0.98217,                0.75369,                0.76246,             6.5281e-05,             6.5281e-05,             6.5281e-05
                     52,                 1.6895,                0.93273,                0.95381,                 0.9822,                0.75717,                0.75744,             6.4587e-05,             6.4587e-05,             6.4587e-05
                     53,                 1.6686,                0.95063,                0.94007,                 0.9819,                0.75612,                0.75545,             6.3892e-05,             6.3892e-05,             6.3892e-05
                     54,                 1.6639,                0.94615,                0.95303,                0.98324,                0.75587,                0.74887,             6.3198e-05,             6.3198e-05,             6.3198e-05
                     55,                 1.6666,                0.95452,                0.93644,                0.98282,                0.75525,                0.75574,             6.2504e-05,             6.2504e-05,             6.2504e-05
                     56,                 1.6704,                0.95234,                0.94608,                0.98355,                0.75553,                0.74743,             6.1809e-05,             6.1809e-05,             6.1809e-05
                     57,                 1.6191,                0.95234,                0.95154,                0.98334,                0.75345,                0.74392,             6.1115e-05,             6.1115e-05,             6.1115e-05
                     58,                 1.6513,                0.94822,                0.94791,                0.98393,                0.75749,                 0.7427,             6.0421e-05,             6.0421e-05,             6.0421e-05
                     59,                 1.6281,                0.94955,                0.95187,                0.98448,                0.75715,                0.73494,             5.9726e-05,             5.9726e-05,             5.9726e-05
                     60,                 1.6248,                0.95044,                0.95342,                0.98321,                 0.7553,                0.74185,             5.9032e-05,             5.9032e-05,             5.9032e-05
                     61,                 1.5965,                0.94538,                0.95065,                0.98304,                0.75313,                0.74284,             5.8338e-05,             5.8338e-05,             5.8338e-05
                     62,                 1.5906,                 0.9583,                0.95124,                 0.9836,                 0.7588,                0.72482,             5.7643e-05,             5.7643e-05,             5.7643e-05
                     63,                 1.5977,                0.95928,                0.94934,                0.98397,                0.75548,                0.72761,             5.6949e-05,             5.6949e-05,             5.6949e-05
                     64,                 1.5591,                0.94912,                0.95306,                0.98396,                0.75776,                0.72892,             5.6254e-05,             5.6254e-05,             5.6254e-05
                     65,                 1.5949,                0.96191,                0.94688,                0.98514,                0.75882,                0.72551,              5.556e-05,              5.556e-05,              5.556e-05
                     66,                 1.5733,                  0.954,                0.95415,                  0.985,                0.75826,                0.71981,             5.4866e-05,             5.4866e-05,             5.4866e-05
                     67,                 1.5896,                0.96294,                0.94353,                0.98548,                0.75857,                0.72303,             5.4171e-05,             5.4171e-05,             5.4171e-05
                     68,                 1.5634,                0.95422,                0.95428,                0.98499,                0.75835,                 0.7145,             5.3477e-05,             5.3477e-05,             5.3477e-05
                     69,                 1.5671,                0.96102,                0.95071,                0.98632,                0.76163,                0.71037,             5.2782e-05,             5.2782e-05,             5.2782e-05
