                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3881,                0.93368,                 1.9812,                0.91695,                0.86024,                0.93598,                0.62297,                 1.2239,                 0.7253,                 1.8544,               0.008845,               0.008845,               0.008845
                     37,                 1.3817,                0.92825,                 1.9743,                0.91332,                0.86535,                0.93218,                0.61798,                 1.2226,                  0.722,                 1.8576,               0.008812,               0.008812,               0.008812
                     38,                 1.3775,                0.91467,                 1.9643,                0.93918,                0.87363,                0.94251,                0.62772,                 1.2102,                0.68951,                 1.8349,               0.008779,               0.008779,               0.008779
                     39,                 1.3713,                0.90497,                 1.9598,                0.94179,                0.87099,                0.94575,                0.63445,                 1.2056,                0.67636,                 1.8247,               0.008746,               0.008746,               0.008746
                     40,                 1.3721,                0.90163,                 1.9611,                0.94148,                0.87648,                0.94612,                0.63619,                 1.2003,                0.67357,                 1.8292,               0.008713,               0.008713,               0.008713
                     41,                 1.3597,                0.89545,                 1.9511,                0.93399,                0.87624,                0.94788,                0.63579,                 1.2158,                0.67566,                 1.8347,                0.00868,                0.00868,                0.00868
                     42,                 1.3572,                0.89856,                 1.9511,                0.93206,                 0.8815,                0.94554,                0.63617,                 1.1994,                 0.6762,                 1.8204,               0.008647,               0.008647,               0.008647
                     43,                 1.3516,                0.89222,                 1.9418,                0.92756,                0.86098,                0.93247,                0.62159,                 1.2351,                0.70832,                 1.8506,               0.008614,               0.008614,               0.008614
                     44,                 1.3511,                0.88115,                 1.9318,                0.92351,                0.87393,                0.94011,                0.63829,                  1.176,                0.66912,                 1.7892,               0.008581,               0.008581,               0.008581
                     45,                 1.3437,                0.87935,                 1.9307,                0.94589,                0.87625,                0.94538,                0.63784,                 1.2023,                0.66049,                 1.8236,               0.008548,               0.008548,               0.008548
                     46,                 1.3372,                0.87428,                 1.9217,                0.93018,                0.86622,                0.93648,                0.63323,                 1.1912,                0.69711,                 1.8177,               0.008515,               0.008515,               0.008515
                     47,                 1.3334,                0.86812,                 1.9148,                0.94071,                0.88287,                0.94695,                0.64484,                 1.1872,                0.66161,                 1.8092,               0.008482,               0.008482,               0.008482
                     48,                 1.3294,                0.86779,                 1.9134,                0.94524,                0.88855,                0.95369,                0.64756,                 1.1844,                0.65577,                 1.7974,               0.008449,               0.008449,               0.008449
                     49,                 1.3314,                0.86945,                 1.9222,                0.95227,                0.88479,                0.95096,                0.64211,                 1.1921,                0.64693,                  1.822,               0.008416,               0.008416,               0.008416
                     50,                 1.3175,                0.85638,                 1.9041,                0.94173,                0.89228,                0.95036,                0.65539,                 1.1537,                0.64176,                 1.7661,               0.008383,               0.008383,               0.008383
                     51,                 1.3197,                0.85277,                 1.9054,                0.94384,                0.85974,                0.93954,                0.61477,                 1.2656,                0.69077,                 1.8674,                0.00835,                0.00835,                0.00835
                     52,                 1.3144,                0.84929,                 1.8973,                0.93405,                0.89788,                0.95199,                0.64537,                 1.1907,                0.63995,                 1.8076,               0.008317,               0.008317,               0.008317
                     53,                 1.3052,                0.83877,                 1.8912,                0.95553,                0.88447,                0.94959,                 0.6463,                 1.1748,                0.62482,                 1.7805,               0.008284,               0.008284,               0.008284
                     54,                 1.2999,                0.83983,                 1.8813,                0.94904,                0.89338,                0.95043,                0.64373,                 1.1936,                0.63192,                 1.8046,               0.008251,               0.008251,               0.008251
                     55,                 1.3094,                0.84832,                 1.8922,                0.92465,                0.87501,                0.93388,                0.62535,                 1.2196,                0.67838,                 1.8233,               0.008218,               0.008218,               0.008218
                     56,                 1.2996,                0.83221,                 1.8778,                0.93877,                0.84967,                0.92911,                0.62303,                 1.2354,                0.69101,                 1.8407,               0.008185,               0.008185,               0.008185
                     57,                 1.2994,                 0.8363,                 1.8804,                0.96075,                 0.8935,                0.95654,                0.64888,                 1.1858,                0.62005,                 1.7923,               0.008152,               0.008152,               0.008152
                     58,                 1.2943,                0.84116,                 1.8814,                0.94474,                0.89468,                0.95421,                0.65251,                 1.1575,                0.62839,                 1.7569,               0.008119,               0.008119,               0.008119
                     59,                 1.2889,                0.82616,                 1.8717,                0.91608,                0.83815,                0.91619,                0.62154,                 1.1802,                0.73354,                  1.798,               0.008086,               0.008086,               0.008086
                     60,                 1.2951,                0.82989,                 1.8711,                0.94015,                0.88862,                0.94795,                0.64666,                 1.1851,                0.62799,                 1.7952,               0.008053,               0.008053,               0.008053
                     61,                 1.2825,                0.81553,                 1.8657,                0.94155,                0.89511,                0.95348,                0.65682,                 1.1772,                0.60918,                 1.7657,                0.00802,                0.00802,                0.00802
                     62,                 1.2813,                0.82002,                 1.8644,                0.94517,                0.87998,                0.95055,                0.65806,                 1.1507,                0.62099,                 1.7477,               0.007987,               0.007987,               0.007987
                     63,                 1.2737,                0.81313,                  1.854,                0.93765,                0.89629,                0.95282,                0.65388,                  1.183,                0.60901,                 1.7849,               0.007954,               0.007954,               0.007954
                     64,                 1.2791,                0.81458,                 1.8601,                0.94015,                0.89755,                0.95289,                0.65372,                 1.1527,                0.61487,                 1.7619,               0.007921,               0.007921,               0.007921
                     65,                 1.2751,                0.81815,                 1.8617,                0.94753,                0.89381,                 0.9527,                0.64635,                 1.2125,                0.61748,                 1.8114,               0.007888,               0.007888,               0.007888
                     66,                 1.2696,                0.80246,                 1.8512,                0.94725,                0.88659,                0.95138,                0.65131,                 1.1864,                0.61242,                 1.7805,               0.007855,               0.007855,               0.007855
                     67,                 1.2653,                0.80169,                 1.8499,                0.95929,                0.88523,                0.95642,                0.65223,                 1.1887,                0.59959,                 1.7858,               0.007822,               0.007822,               0.007822
                     68,                 1.2684,                0.80369,                 1.8484,                0.93817,                0.88202,                0.94681,                0.64647,                 1.1807,                0.61752,                 1.7892,               0.007789,               0.007789,               0.007789
